Temperature,Air Humidity,Date,Time
29.18490786,71.78969946,2024-06-20,09:00:00
33.70720471,77.97739053,2024-06-20,09:03:00
24.76031105,60.77628206,2024-06-20,09:06:00
32.73851507,59.32354345,2024-06-20,09:09:00
25.69274449,66.62491413,2024-06-20,09:12:00
33.80680929,47.77469251,2024-06-20,09:15:00
32.65949511,40.31759197,2024-06-20,09:18:00
38.08393948,50.91595054,2024-06-20,09:21:00
35.43074707,60.82272131,2024-06-20,09:24:00
34.23292319,42.99440241,2024-06-20,09:27:00
32.45140078,72.28222536,2024-06-20,09:30:00
22.61185697,62.21459137,2024-06-20,09:33:00
27.01024863,61.77921565,2024-06-20,09:36:00
24.74705146,64.86232578,2024-06-20,09:39:00
24.01856157,56.57166562,2024-06-20,09:42:00
32.96375881,64.836761,2024-06-20,09:45:00
27.99827866,62.05800089,2024-06-20,09:48:00
27.89698264,49.92390283,2024-06-20,09:51:00
34.83673164,45.72879474,2024-06-20,09:54:00
22.46622021,40.23528975,2024-06-20,09:57:00
32.37186722,50.51121641,2024-06-20,10:00:00
23.01426608,67.31921149,2024-06-20,10:03:00
23.28497444,71.65649789,2024-06-20,10:06:00
25.51245583,74.57481526,2024-06-20,10:09:00
31.48275853,41.97814358,2024-06-20,10:12:00
37.03853837,58.10408442,2024-06-20,10:15:00
36.83077335,81.20181201,2024-06-20,10:18:00
38.64757166,71.10451413,2024-06-20,10:21:00
22.2119609,54.84962341,2024-06-20,10:24:00
29.33212651,72.40464911,2024-06-20,10:27:00
31.99541439,77.41809636,2024-06-20,10:30:00
19.02299534,78.80498538,2024-06-20,10:33:00
26.22425309,76.7051323,2024-06-20,10:36:00
34.90846594,44.35794312,2024-06-20,10:39:00
35.28726983,39.99390152,2024-06-20,10:42:00
23.86116554,61.51615757,2024-06-20,10:45:00
32.82766255,74.60337098,2024-06-20,10:48:00
22.38197726,56.59230979,2024-06-20,10:51:00
19.62990205,46.27759015,2024-06-20,10:54:00
18.44366419,58.18156467,2024-06-20,10:57:00
32.51240158,53.58096683,2024-06-20,11:00:00
29.05412642,59.45842859,2024-06-20,11:03:00
26.74577988,75.11348102,2024-06-20,11:06:00
20.66510899,46.77438853,2024-06-20,11:09:00
38.80450797,68.49685483,2024-06-20,11:12:00
32.10361139,75.83862846,2024-06-20,11:15:00
36.16177182,55.75736243,2024-06-20,11:18:00
36.62782649,68.50373606,2024-06-20,11:21:00
23.41158867,49.91586603,2024-06-20,11:24:00
20.10687481,61.10139107,2024-06-20,11:27:00
21.24283558,72.72860039,2024-06-20,11:30:00
35.32251749,49.85763478,2024-06-20,11:33:00
38.97932302,63.38915578,2024-06-20,11:36:00
30.69033234,70.88355159,2024-06-20,11:39:00
33.22723857,45.26971073,2024-06-20,11:42:00
38.23214297,44.07958961,2024-06-20,11:45:00
27.65112189,63.77504282,2024-06-20,11:48:00
33.09027604,57.73107061,2024-06-20,11:51:00
36.04671237,51.66838899,2024-06-20,11:54:00
36.29225945,44.70741231,2024-06-20,11:57:00
34.1753631,47.10764913,2024-06-20,12:00:00
23.65485943,81.2259392,2024-06-20,12:03:00
28.50899242,43.69588123,2024-06-20,12:06:00
37.67302885,39.70788536,2024-06-20,12:09:00
29.88475236,62.70444708,2024-06-20,12:12:00
29.46343116,62.03854994,2024-06-20,12:15:00
18.42114697,49.00948583,2024-06-20,12:18:00
28.58465415,59.34578281,2024-06-20,12:21:00
33.42320894,72.49057658,2024-06-20,12:24:00
33.82878329,67.41403773,2024-06-20,12:27:00
24.90582822,75.6340079,2024-06-20,12:30:00
18.87048114,69.53474979,2024-06-20,12:33:00
26.38227776,80.96259893,2024-06-20,12:36:00
27.96928989,68.06970814,2024-06-20,12:39:00
19.93847873,39.13195054,2024-06-20,12:42:00
26.67489864,78.64099226,2024-06-20,12:45:00
33.51201906,75.71614774,2024-06-20,12:48:00
34.9854744,63.34809685,2024-06-20,12:51:00
32.5903976,73.84502511,2024-06-20,12:54:00
35.94243818,78.05485409,2024-06-20,12:57:00
19.7773322,56.57729304,2024-06-20,13:00:00
32.19162455,59.64859301,2024-06-20,13:03:00
35.7290513,69.34994159,2024-06-20,13:06:00
22.62732984,50.96885041,2024-06-20,13:09:00
31.61827775,62.14365628,2024-06-20,13:12:00
29.86596628,75.2706511,2024-06-20,13:15:00
24.19754699,44.83529542,2024-06-20,13:18:00
24.91222857,44.54538979,2024-06-20,13:21:00
23.94828469,76.42347719,2024-06-20,13:24:00
25.23651133,51.31257887,2024-06-20,13:27:00
31.09212269,38.62614319,2024-06-20,13:30:00
27.33736531,61.05962015,2024-06-20,13:33:00
26.74934787,56.04137589,2024-06-20,13:36:00
21.36677755,49.64147192,2024-06-20,13:39:00
21.94951202,47.90370377,2024-06-20,13:42:00
25.07360753,69.09578913,2024-06-20,13:45:00
30.49472928,77.68885424,2024-06-20,13:48:00
34.95107323,65.18342573,2024-06-20,13:51:00
29.39140922,43.74302238,2024-06-20,13:54:00
18.23216026,67.52258734,2024-06-20,13:57:00
27.55169062,65.16688,2024-06-20,14:00:00
29.76739106,75.23687082,2024-06-20,14:03:00
26.31360596,61.53205765,2024-06-20,14:06:00
19.73742076,69.88302827,2024-06-20,14:09:00
26.65230538,65.06504994,2024-06-20,14:12:00
26.10497323,64.14603057,2024-06-20,14:15:00
18.62938351,46.78770285,2024-06-20,14:18:00
20.33003553,46.23138007,2024-06-20,14:21:00
24.10797043,74.61265567,2024-06-20,14:24:00
25.37298077,63.96610751,2024-06-20,14:27:00
32.12412901,56.49534371,2024-06-20,14:30:00
29.23046572,47.59271312,2024-06-20,14:33:00
26.56890261,39.08373386,2024-06-20,14:36:00
28.70185715,78.06252851,2024-06-20,14:39:00
19.50081239,48.16378875,2024-06-20,14:42:00
19.49655406,55.29787959,2024-06-20,14:45:00
29.63822079,41.08245597,2024-06-20,14:48:00
32.67367917,60.30390769,2024-06-20,14:51:00
25.81300635,42.08328337,2024-06-20,14:54:00
29.66185289,50.80355729,2024-06-20,14:57:00
37.98171538,39.37290809,2024-06-20,15:00:00
34.11495609,47.51864582,2024-06-20,15:03:00
37.21007959,55.09380817,2024-06-20,15:06:00
32.23315033,63.06073455,2024-06-20,15:09:00
26.40488684,65.21626683,2024-06-20,15:12:00
22.59447703,77.89861807,2024-06-20,15:15:00
29.11025263,77.05742236,2024-06-20,15:18:00
24.0014384,40.66397833,2024-06-20,15:21:00
23.62404301,81.25390177,2024-06-20,15:24:00
34.93016874,70.08273855,2024-06-20,15:27:00
36.05535467,64.95732428,2024-06-20,15:30:00
30.65249738,44.64276776,2024-06-20,15:33:00
30.66098124,45.14644997,2024-06-20,15:36:00
32.29177821,80.58091972,2024-06-20,15:39:00
36.05820798,56.06359896,2024-06-20,15:42:00
